tekst,gatunek
"Seryjny morderca i inteligentna agentka łączą siły, by znaleźć przestępcę obdzierającego ze skóry swoje ofiary.",Thriller
"Cierpiący na bezsenność mężczyzna poznaje gardzącego konsumpcyjnym stylem życia Tylera Durdena, który jest jego zupełnym przeciwieństwem.",Thriller
"Czasy, gdy technologia pozwala na wchodzenie w świat snów. Złodziej Cobb ma za zadanie wszczepić myśl do śpiącego umysłu.",Thriller
Psycholog dziecięcy próbuje pomóc ośmioletniemu chłopcu widzącemu zmarłych poradzić sobie z tym niezwykłym darem.,Thriller
Dwóch policjantów stara się złapać seryjnego mordercę wybierającego swoje ofiary według specjalnego klucza - siedmiu grzechów głównych.,Thriller
"Szeryf federalny Daniels stara się dowiedzieć, jakim sposobem z zamkniętej celi w pilnie strzeżonym szpitalu dla chorych psychicznie przestępców zniknęła pacjentka.",Thriller
"Evan, który potrafi podróżować w czasie, przekona się, że nawet najdrobniejsza zmiana w przeszłości ma kolosalny wpływ na teraźniejszość.",Thriller
Ekranizacja powieści Dana Browna. Tajemnicze morderstwo w Luwrze staje się kluczem do rozwiązania jednej z największych zagadek strzeżonych przez tajemnicze stowarzyszenie.,Thriller
"Kevin Lomax - wybitny adwokat, skuszony intratną propozycją pracy, przeprowadza się do Nowego Jorku. Nie zdaje sobie jednak sprawy z tego, kim jest jego chlebodawca.",Thriller
Jack podejmuje pracę stróża odciętego od świata hotelu Overlook. Wkrótce idylla zamienia się w koszmar.,Horror
"Tajemniczy wirus wymordował lub zamienił w krwiożercze bestie prawie całą ludzkość. Samotny naukowiec Robert Neville poszukuje szczepionki, by odwrócić mutację.",Horror
"Historia wdowca, który by przestać cierpieć, zostaje przemieniony w wampira. Jego charakter nie pozwala mu zabijać ludzi z zimną krwią, ale nie jest na tyle silny, by wybrać samobójstwo.",Horror
"Adaptacja opowiadania Stephena Kinga. Mike Enslin, autor książek o zjawiskach paranormalnych, próbuje podważyć mit pokoju nr 1408.",Horror
Adaptacja książki Stephenie Meyer. Nieśmiała i zagubiona nastolatka zakochuje się w wampirze.,Horror
"Nowojorski policjant przybywa do małej osady, by rozwiązać sprawę tajemniczych morderstw dokonywanych rzekomo przez jeźdźca bez głowy.",Horror
"Załoga statku kosmicznego Nostromo odbiera tajemniczy sygnał i ląduje na niewielkiej planetoidzie, gdzie jeden z jej członków zostaje zaatakowany przez obcą formę życia.",Horror
Adaptacja opowiadania Stephena Kinga. W gęstej i nieprzeniknionej mgle na ludzi zaczynają polować tajemnicze istoty.,Horror
"Nowojorski bibliofil dostaje zlecenie odnalezienia ściśle strzeżonych egzemplarzy satanicznej księgi pt. ""Dziewięć wrót Królestwa Cieni"".",Horror
"Słynna para badaczy zjawisk paranormalnych zostaje poproszona o pomoc rodzinie, którą terroryzuje potężny demon.",Horror
Młoda kobieta próbuje odkryć prawdę o zagadkowej śmierci swojego ojca.,Thriller
"Romantyczna komedia o dwóch nieprzystających do siebie osobach, które zakochują się w najmniej spodziewanym momencie.",Romantyczny
"Grupa przyjaciół wyrusza na niebezpieczną misję, aby ocalić świat przed zagładą.",Sci-fi
"Wzruszający film opowiadający historię małego chłopca, który pokonuje przeciwności losu, aby spełnić swoje marzenia.",Dramat
Agent tajnej służby musi powstrzymać zamach na prezydenta.,Akcja
Ekranizacja bestsellerowej powieści o miłości i zdradzie w tajemniczym świecie arystokracji.,Dramat
Niesamowita podróż chłopca do magicznego świata pełnego stworzeń fantastycznych i przygód.,Fantasy
Komedia kryminalna o grupie nieudolnych złodziei planujących skok na bank.,Komedia
"Dreszczowiec psychologiczny, w którym bohaterka staje twarzą w twarz ze swoimi największymi lękami.",Thriller
"Opowieść o młodej dziewczynie, która musi stawić czoło ciemnym siłom, aby uratować swoją rodzinę.",Fantasy
Film dokumentalny ukazujący historię jednego z największych oszustów finansowych w historii.,Dokumentalny
"Romantyczna historia miłosna, która rozgrywa się w pięknych włoskich krajobrazach.",Romantyczny
"Komediodramat o grupie przyjaciół, którzy starają się odnaleźć swoje miejsce w świecie.",Dramat
"Oryginalna animacja opowiadająca historię zabawek, które ożywają, gdy nikt nie patrzy.",Animacja
Thriller sensacyjny o detektywie ścigającym seryjnego mordercę po mrocznych ulicach miasta.,Thriller
"Przygodowy film familijny o młodej dziewczynce, która odkrywa magiczny portal do innego wymiaru.",Przygodowy
"Komedia romantyczna o dwóch osobach, które nie wiedzą, że są dla siebie stworzone.",Komedia
"Dramat obyczajowy, który porusza trudne tematy społeczne i ludzkie relacje.",Dramat
Film science-fiction o podróży w czasie i próbie zmienienia przyszłości.,Sci-fi
Historia wojenna opowiadająca o bohaterskich czynach żołnierzy na froncie.,Wojenny
Film biograficzny przedstawiający życie i karierę legendarnego muzyka.,Biograficzny
"Thriller kryminalny, w którym detektyw prowadzi śledztwo w sprawie tajemniczych morderstw.",Thriller
"Romantyczna komedia o zakochanych nastolatkach, którzy muszą przezwyciężyć wiele przeszkód, aby być razem.",Romantyczny
"Film fantasy o grupie bohaterów wyruszających na misję, aby pokonać siły zła i przywrócić równowagę w królestwie.",Fantasy
"Komediodramat o dwóch braciach, którzy próbują naprawić skomplikowane relacje w swojej rodzinie.",Dramat
Film animowany dla całej rodziny o przygodach wesołego zwierzaka i jego przyjaciół.,Animacja
"Thriller szpiegowski o agentce, która musi odkryć spisek wewnątrz organizacji.",Thriller
Młoda dziewczyna odkrywa swoje magiczne moce i staje się bohaterką walki o sprawiedliwość.,Fantasy
Film dokumentalny przedstawiający historię odkrycia zaginionego skarbu.,Dokumentalny
"Komedia romantyczna, w której bohaterowie próbują odnaleźć miłość w wielkim mieście.",Komedia
"Thriller psychologiczny, w którym główny bohater musi zmierzyć się ze swoją przeszłością.",Thriller
"Film przygodowy o grupie podróżników, którzy odkrywają tajemnice zapomnianego świata.",Przygodowy
"Komediodramat opowiadający historię niekonwencjonalnej rodziny, która stawia czoło trudnościom i odnajduje szczęście.",Dramat
"Animowany film muzyczny, w którym bohaterowie wyrażają swoje emocje przez piosenki i tańce.",Animacja
"Thriller akcji o byłym żołnierzu, który próbuje ocalić zakładników z rąk terrorystów.",Thriller
"Film fantasy o grupie młodych wojowników, którzy stawiają czoła potężnemu władcy ciemności.",Fantasy
Dramat obyczajowy opowiadający historię życia zwykłych ludzi w niezwykłych okolicznościach.,Dramat
"Romantyczna komedia o dwóch przypadkowo spotkanych osobach, które zakochują się w krótkim czasie.",Romantyczny
"Film historyczny, który przedstawia ważne wydarzenia z przeszłości i ich wpływ na teraźniejszość.",Historyczny
"Thriller kryminalny, w którym detektyw ściga seryjnego mordercę przez miasto pełne tajemnic.",Thriller
"Film przygodowy dla całej rodziny, w którym bohaterowie wyruszają na niebezpieczną wyprawę w poszukiwaniu skarbu.",Przygodowy
"Komedia romantyczna o dwóch osobach, które spotykają się na wakacjach i zakochują się w sobie.",Komedia
"Dramat psychologiczny, który analizuje ludzkie zachowania i emocje w trudnych sytuacjach.",Dramat
"Film animowany o grupie zwierząt, które muszą współpracować, aby pokonać wspólnego wroga.",Animacja
Thriller sci-fi o zagrożeniu ze strony obcej cywilizacji i próbie ocalenia ludzkości.,Sci-fi
"Romantyczna historia miłosna, która rozgrywa się w egzotycznym miejscu i pełna jest przygód.",Romantyczny
"Komediodramat o grupie przyjaciół, którzy postanawiają zmienić swoje życie i spełnić swoje marzenia.",Dramat
"Oryginalna animacja opowiadająca historię małego chłopca, który odkrywa magiczny świat pełen niesamowitych stworzeń.",Animacja
"Thriller psychologiczny, w którym bohaterka odkrywa mroczne tajemnice swojej rodziny.",Thriller
"Film familijny o młodych bohaterach, którzy stawiają czoła niebezpieczeństwom, aby uratować swoje miasto.",Familijny
"Komedia romantyczna o dwóch osobach, które spotykają się na przyjęciu weselnym i zaczynają romans.",Komedia
"Dramat społeczny, który porusza ważne tematy związane z nierównościami społecznymi i walką o sprawiedliwość.",Dramat
"Film animowany o przygodach grupy dzieci, które odkrywają magiczny świat pod swoim łóżkiem.",Animacja
"Thriller akcji o agentce specjalnej, która musi powstrzymać międzynarodową organizację przestępczą.",Thriller
"Film fantasy o bohaterze, który wyrusza na niebezpieczną podróż, aby odzyskać utracone dziedzictwo.",Fantasy
"Komediodramat o dwóch obcych sobie ludziach, którzy przypadkowo spotykają się i zmieniają sobie życie.",Dramat
"Animowany musical, w którym bohaterowie wyrażają swoje uczucia i emocje poprzez piosenki.",Animacja
"Thriller sci-fi o grupie naukowców, którzy odkrywają tajemnicze zjawisko kosmiczne.",Sci-fi
"Romantyczna komedia o dwóch osobach, które spotykają się w magicznym miejscu i zakochują się w sobie.",Romantyczny
